,Show Number,Air Date,Round,Category,Value,Question,Answer,value_float
2410,3214,1998-07-16,Jeopardy!,PRE-COLUMBIAN CULTURES,$500,Warriors of this Yucatan civilization battle in the computer-enhanced mural seen here:,Mayans,500.0
5077,3480,1999-10-22,Double Jeopardy!,19th CENTURY LITERATURE,$500,"Edward Bellamy's 1888 book ""Looking Backward"" sends a man to this year & doesn't mention computer bugs",2000,500.0
18795,3175,1998-05-22,Double Jeopardy!,GREEK LETTERS,$1000,Computer games & programs undergo this test period to work out bugs before their final retail release,Beta testing,1000.0
20114,980,1988-02-12,Jeopardy!,SCHOOL DAYS,$200,It used to be a student who kept order in the halls; now it's a screen for your computer,monitor,200.0
20837,3118,1998-04-03,Jeopardy!,"GO TO ""H""",$200,"At best, it's a computer enthusiast; at worst, it's one who illegally taps into your computer",Hacker,200.0
22502,2874,1997-02-13,Jeopardy!,BUSINESS & INDUSTRY,$200,This company's new computer products include the Aptiva S & the Thinkpad 560,IBM,200.0
23508,3083,1998-01-14,Jeopardy!,CARTOONS,$100,Director John Lasseter earned a 1995 Oscar for this first all-computerized animated feature,Toy Story,100.0
26354,3494,1999-11-11,Double Jeopardy!,TECH BUSINESS & INDUSTRY,$1000,Linus Torvalds developed this upstart computer operating system that's usually available at no cost,Linux,1000.0
28168,2756,1996-02-09,Jeopardy!,NONFICTION,$300,"This Microsoft CEO talks about the future of computers in his bestseller ""The Road Ahead""",Bill Gates,300.0
30404,3178,1998-05-27,Double Jeopardy!,1997 BUSINESS NEWS,$200,In Jan. some said this computer chip maker would become the world's most profitable company by 1999,Intel,200.0
32162,3463,1999-09-29,Double Jeopardy!,ABBREVIATIONS,$1000,A computer designer's goal:              AI,Artificial Intelligence,1000.0
33848,3243,1998-10-14,Jeopardy!,GUYS NAMED GARY,$500,"A Russian chess grandmaster, this man lost to a computer in 1997",Garry Kasparov,500.0
36307,3063,1997-12-17,Double Jeopardy!,SCIENCE,$600,"In computers or audio amplifiers, it's the process in which part of the output returns to the input",Feedback,600.0
36817,3488,1999-03-11,Jeopardy!,COMPUTERAMA,$200,"The computer visual seen here is known by this ""restaurant"" term",Menu,200.0
36829,3488,1999-03-11,Jeopardy!,COMPUTERAMA,$400,"The last name of Charles, who built a precursor to the computer, the analytical engine, in the early 1800s",Babbage,400.0
37064,3375,1999-04-16,Jeopardy!,PC WORLD,$300,"To take fleas off your dog, or to detect, locate & correct errors in a computer program",Debug,300.0
42462,3487,1999-02-11,Double Jeopardy!,COMPUTER LITERACY,$600,"This psychotic computer is repaired in Arthur C. Clarke's ""2010: Odyssey Two""",HAL,600.0
42468,3487,1999-02-11,Double Jeopardy!,COMPUTER LITERACY,$800,A computer commits suicide after talking to Marvin the Robot in this first Douglas Adams novel,"""The Hitchhiker's Guide to the Galaxy""",800.0
42474,3487,1999-02-11,Double Jeopardy!,COMPUTER LITERACY,$1000,This computer-driven sci-fi subgenre includes works by William Gibson & Bruce Sterling,Cyberpunk,1000.0
47538,3164,1998-07-05,Jeopardy!,COMPUTER CHARACTERS,$400,TV series set inside a computer that features the characters seen here,ReBoot,400.0
47544,3164,1998-07-05,Jeopardy!,COMPUTER CHARACTERS,$500,1 of the 2 computer games that feature the clay man Klaymen seen here,"""The Neverhood"" or ""Skullmonkeys""",500.0
51059,2990,1997-05-09,Jeopardy!,BORN IN THE '60S,$300,"In 1996, he beat a chess-playing IBM computer called Deep Blue; in 1997 the tables were turned",Garry Kasparov,300.0
52516,2912,1997-08-04,Double Jeopardy!,CONTEMPORARIES,$600,"While Charles Babbage was trying to build a computer in the 1820s, this Scot invented what would be a ""Mac""",Charles McIntosh,600.0
53562,3213,1998-07-15,Jeopardy!,BY 2000,$200,Computers that recognize 00 as this date have to be fixed by the year 2000,1900,200.0
57252,3298,1998-12-30,Double Jeopardy!,20th CENTURY DESIGN,$200,"This company ""thought differently"" to come up with the 1998 design seen here (Mac computer)",Apple,200.0
58098,739,1987-11-19,Double Jeopardy!,ODD ALPHABETS,$600,"In ASCII, this kind of computer code, A is 01000001",Binary Code,600.0
66634,3021,1997-10-20,Jeopardy!,ABBREV.,$300,"In computerese, when referring to capacity, MB is short for this",megabyte,300.0
67260,2930,1997-02-05,Double Jeopardy!,NONFICTION,$1000,"Between his novels ""Congo"" & ""Sphere"", he published ""Electronic Life: How to Think About Computers""",Michael Crichton,1000.0
67569,2980,1997-11-07,Jeopardy!,CURRENT EXPRESSIONS,$600,"Name for the computer-aided process seen <a href=""http://www.j-archive.com/media/1997-07-11_J_23.wmv"">here</a>:",morphing,600.0
71864,2921,1997-04-21,Jeopardy!,LETTER PERFECT,$400,This computer chip is named for the type of TV programming parents may want to block,V-Chip,400.0
72972,3148,1998-04-15,Final Jeopardy!,INVENTORS,None,He was inducted into the Inventors Hall of Fame in 1997 for inventing the supercomputer,Seymour Cray,0.0
74311,3167,1998-12-05,Double Jeopardy!,WORD PROCESSING,$800,Term for the printer or margins your computer is set for unless you tell it otherwise,Default,800.0
78001,3466,1999-04-10,Jeopardy!,THINGS I LEARNED AT THE MOVIES,$400,"10-year-old kids are the most expert at this activity, illicitly entering computer systems",Hacking,400.0
78891,3032,1997-04-11,Jeopardy!,CYBER LIFE,$200,"Web addresses that end with "".au"" are located on host computers in this country",Australia,200.0
78920,3032,1997-04-11,Double Jeopardy!,SCHWARZENEGGER FILMS,$400,Wife Jamie Lee Curtis thought hubby Arnold was a computer salesman instead of a superspy in this 1994 thriller,True Lies,400.0
85386,1322,1990-08-05,Double Jeopardy!,COMPUTERS,$400,"Like spouses who don't get along, computers that use different operating systems are said to be this",Incompatible,400.0
86813,3377,1999-04-20,Jeopardy!,TECHNOLOGY,$500,"On August 12, 1981 the world saw the first IBM personal computer using this Microsoft operating system",MS-DOS,500.0
90991,3349,1999-11-03,Jeopardy!,AD AGE,$100,"Bob Dylan, Pablo Picasso & Albert Einstein ""Think Different"" according to ads for this computer company",Apple,100.0
91009,3349,1999-11-03,Jeopardy!,AD AGE,$400,Commercials for this video chain featured that computer-generated dancing baby,Blockbuster,400.0
92202,3198,1998-06-24,Double Jeopardy!,COMPUTER LITERACY,$400,Digital computers use this number system in which the decimal number 12 becomes 1100,Binary,400.0
92829,1887,1992-11-17,Double Jeopardy!,HEALTH & MEDICINE,$1000,"Used especially in diagnosing brain disorders, CAT, as in CAT scan, stands for ""computerized"" this",axial tomography,1000.0
97268,3294,1998-12-24,Jeopardy!,STORES WITHOUT WALLS,$500,This computer company founded by a man named Michael does $6 million of business online a day,Dell,500.0
