,Show Number,Air Date,Round,Category,Value,Question,Answer,value_float
309,5690,2009-08-05,Jeopardy!,OLD FOLKS IN THEIR 30s,$600,Linus Torvalds is the father of this operating system used on cell phones & supercomputers,Linux,600.0
342,5690,2009-08-05,Double Jeopardy!,MATHEM-ATTACK!,$1200,"(<a href=""http://www.j-archive.com/media/2009-05-08_DJ_28.jpg"" target=""_blank"">Kelly of the Clue Crew shows an array of numbers enclosed in brackets on the monitor.</a>)  A set of numbers in rows and columns can be used in many ways--for example, to encrypt a code or create 3-D computer graphics; the set shares this name with a 1999 film",a matrix,1200.0
1106,4085,2002-10-05,Double Jeopardy!,"""EN"" THE BEGINNING",$800,"2-word term for the consumer, for whom a computer is ultimately designed",an end user,800.0
1430,4960,2006-03-17,Jeopardy!,RECORD LOSSES IN 2005,$200,"A computer with 98,000 names & SSNs was reported stolen from this oldest campus of the Univ. of Calif.",Berkeley,200.0
3078,4487,2004-02-24,Double Jeopardy!,LISA,$800,"In 1983 Apple introduced the Lisa personal computer, the first PC with one of these controls",a mouse,800.0
3318,5002,2006-05-16,Double Jeopardy!,NEW WEAPONS,$400,"The USA's ""E-Bomb"" will disable grids & computers and reheat the enemies' lasagna by sending out these waves",microwaves,400.0
4106,5797,2009-11-24,Double Jeopardy!,"""PH""UN WORDS",$400,"From the Greek for ""shape"", it means to transform an image into something else by computer",morph,400.0
4615,5512,2008-07-22,Double Jeopardy!,SLEEP,$2000,"(<a href=""http://www.j-archive.com/media/2008-07-22_DJ_26.wmv"">Sarah of the Clue Crew points to a brain on a computer screen at the Sleep Research Center at Stanford University.</a>)  <a href=""http://www.j-archive.com/media/2008-07-22_DJ_26a.jpg"" target=""_blank"">This</a> part of the brain that connects to the spinal cord is vital for dreaming, as it produces chemicals that keep other parts of the brain active",the medulla oblongata (or the brain stem),2000.0
4706,5419,2008-03-13,Jeopardy!,OF A SALESMAN,$1000,"This 1992 presidential candidate sold IBM computers in Texas before starting his own company, EDS",Ross Perot,1000.0
5119,4842,2005-04-10,Jeopardy!,A CONTRADICTION IN TERMS,$1000,"This computer language gets oxymoronic when it follows ""Advanced""",BASIC,1000.0
6719,5930,2010-05-28,Jeopardy!,MOVIE TAG LINES,$1000,"1982 film that showed ""A world inside a computer where man has never been. Never before now""",Tron,1000.0
