,Show Number,Air Date,Round,Category,Value,Question,Answer
4953,3003,24/09/1997,Double Jeopardy!,"""PH""UN WORDS",$200,"Both England's King George V & FDR put their stamp of approval on this ""King of Hobbies""",Philately (stamp collecting)
6337,3517,14/12/1999,Double Jeopardy!,Y1K,$800,"In retaliation for Viking raids, this ""Unready"" king of England attacks Norse areas of the Isle of Man",Ethelred
9191,3907,04/09/2001,Double Jeopardy!,WON THE BATTLE,$800,This king of England beat the odds to trounce the French in the 1415 Battle of Agincourt,Henry V
11710,2903,26/03/1997,Double Jeopardy!,BRITISH MONARCHS,$600,"This Scotsman, the first Stuart king of England, was called ""The Wisest Fool in Christendom""",James I
13454,4726,07/03/2005,Jeopardy!,A NUMBER FROM 1 TO 10,$1000,It's the number that followed the last king of England named William,4
14445,1103,24/05/1989,Jeopardy!,FAMOUS QUOTES,$300,"Nelson said, ""England expects that every man will do"" this & died thanking God he did his",his duty
14912,2832,17/12/1996,Jeopardy!,WORLD HISTORY,$100,"This country's King Louis IV was nicknamed ""Louis From Overseas"" because he was raised in England",France
16475,5816,21/12/2009,Jeopardy!,THEY WERE CONTEMPORARIES,$200,There was good kinging in the 800s--Leo the Wise ruled the Byzantine Empire while England had Alfred the this,the Great
18076,3227,22/09/1998,Double Jeopardy!,WORLD HISTORY,$1000,In 1199 this crusader king of England was mortally wounded while besieging the castle of Chalus,Richard the Lionhearted
19104,3322,02/02/1999,Jeopardy!,HISTORIC NAMES,$200,"Name of 8 kings of England since 1272, it was also General Lee's middle name",Edward
19168,3109,19/02/1998,Jeopardy!,HISTORIC WORLD LEADERS,$300,"He was the only king of England to have ""The Great"" tacked on to his name",Alfred
21511,4650,19/11/2004,Jeopardy!,"THE ""O.C.""",$1000,this man and his son ruled England following the execution of King Charles I,Oliver Cromwell
23810,4862,01/11/2005,Jeopardy!,NAME THE YEAR,$400,William the Conqueror was crowned King of England in Westminster Abbey on Christmas Day in this year,1066
23979,4664,09/12/2004,Double Jeopardy!,MEDIEVAL TIMES,$2000,"This ""unready"" king of England lost most of his country to Sven Forkbeard, the king of Denmark",Aethelred the Unready
26780,2118,17/11/1993,Double Jeopardy!,THE MIDDLE AGES,"$1,200",This king of England was killed by a Norman arrow at the Battle of Hastings,Harold II
27380,2339,03/11/1994,Double Jeopardy!,WORLD HISTORY,$1000,In 1066 he became the last Saxon king to rule England,Harold II
27555,1799,28/05/1992,Double Jeopardy!,HISTORIC IN-LAWS,$600,This member of the Medici family was the mother-in-law of England's King Charles I,Marie de Medici
28570,4752,12/04/2005,Double Jeopardy!,KING ME,$1600,The IV king of this name (following the Norman Conquest) brought the House of York to England's throne,Edward
33174,1333,23/05/1990,Jeopardy!,THE CRUSADES,$200,This king of England was a leader of the Third Crusade,Richard I (Richard the Lionhearted)
33294,5589,18/12/2008,Jeopardy!,THE BAYEUX TAPESTRY,$600,"(Sarah of the Clue Crew delivers the clue from the Bayeux Cathedral in France.)  Despite taking an oath to assure another succession, Harold is crowned King of England; the tapestry indicated it was <a href=""http://www.j-archive.com/media/2008-12-18_J_08.jpg"" target=""_blank"">Stigant</a>, this archbishop, who performed the ceremony",the Archbishop of Canterbury
35478,6128,13/04/2011,Double Jeopardy!,AN AUTHOR IS BORN,$1200,"Born in Bedfordshire, England in 1628, he was making ""Progress"" from the start",(John) Bunyan
35869,2951,02/06/1997,Jeopardy!,PEOPLE IN HISTORY,$600,"Before he became king of England, George VI served in the Royal Navy & fought in the Battle of Jutland during this war",World War I
36360,4786,30/05/2005,Double Jeopardy!,WHERE AM I?,$400,"(<a href=""http://www.j-archive.com/media/2005-05-30_DJ_26.jpg"" target=""_blank"">Jimmy of the Clue Crew holds a block of cheese</a>.)  I'm in this Midwest state famous for making cheddar, which actually originated in a village in England",Wisconsin
37550,3658,28/06/2000,Jeopardy!,THEY NAMED IT FOR ME,$300,They named a knot for this Duke who was briefly king of England,Duke of Windsor
41148,5925,21/05/2010,Double Jeopardy!,TREATIES,$1600,"This French king recognized William of Orange as William II, King of England, under the terms of 1697's Treaty of Ryswick",Louis XIV
41357,2751,15/07/1996,Jeopardy!,HISTORIC NAMES,$400,"England's King Henry VIII had 3 wives named Catherine:  Catherine Howard, Catherine of Aragon & this one",Catherine Parr
43122,3937,16/10/2001,Double Jeopardy!,"OH, HENRY!",$400,The father of England's King Edward VI,Henry VIII
47814,4365,18/07/2003,Double Jeopardy!,POTIONS,$2000,This steak sauce was created for King George IV of England,A1
49994,5499,03/07/2008,Jeopardy!,REIGN DROPS,$1000,"Elizabeth I's half-brother, he reigned before her as King of England from 1547 to 1553",Edward VI
51115,3574,02/03/2000,Jeopardy!,ALL THINGS BRITISH,$200,"(<a href=""http://www.j-archive.com/media/2000-03-02_J_22.jpg"" target=""_blank"">Alex Trebek reads from England.</a>)  In 1214 barons fed up with King John met at the abbey whose ruins we see here; the result a year later was this charter",Magna Carta
51565,4264,27/02/2003,Double Jeopardy!,MUSIC APPRECIATION,$800,"He wrote several anthems, including ""The King Shall Rejoice"", for the coronation of England's King George II",George Frideric Handel
51986,4689,13/01/2005,Double Jeopardy!,19th CENTURY NOTABLES,$800,"This associate of Marx wrote about ""the condition of the working class in England in 1844""",Engels
52166,5971,26/07/2010,Double Jeopardy!,ON THE BRITISH THRONE,$800,"While in England in 1760, John Hancock attended the coronation of this king",George III
52184,5971,26/07/2010,Double Jeopardy!,ON THE BRITISH THRONE,$2000,"(<a href=""http://www.j-archive.com/media/2010-07-26_DJ_10.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from in front of the Bayeux Tapestry.</a>)  The tapestry opens in 1064 with this childless king on England's throne; 11th century sources say the <a href=""http://www.j-archive.com/media/2010-07-26_DJ_10.jpg"" target=""_blank"">meeting</a> is about naming his successor",Edward the Confessor
54982,961,07/11/1988,Double Jeopardy!,EUROPEAN HISTORY,$800,"When England's Queen Anne died, this German became king because he was a great grandson of James I",George I
56600,3533,05/01/2000,Double Jeopardy!,FRENCH HISTORY,$600,This city known for its 24-hour auto race was the birthplace of England's King Henry II in 1133,Le Mans
57479,4299,17/04/2003,Jeopardy!,FACTS & FIGURES,$800,He was the last of the 3 men who were king of England during 1066,William the Conqueror
57516,4299,17/04/2003,Double Jeopardy!,"THE ""UN""CATEGORY",$2000,Famous (& rather insulting) adjective for England's King Ethelred II,"""the Unready"""
58112,739,19/11/1987,Final Jeopardy!,RULERS,None,The only name shared by four consecutive kings of England,George (I - IV)
58949,6250,18/11/2011,Double Jeopardy!,ASSUME THE POSITION,$2000,He became King of England in 1399 after forcing his cousin Richard II from the throne,Henry IV
59221,3710,20/10/2000,Jeopardy!,EUROPEAN HISTORY,$500,"In the 1697 Treaty of Rijswijk, the French recognized this Dutch-born man as king of England",William the Orange
59780,2776,30/09/1996,Double Jeopardy!,POTPOURRI,$1000,"In literature, restoration refers to the period after the return of this king to England's throne in 1660",Charles II
60601,4796,13/06/2005,Double Jeopardy!,CLASSICAL MUSIC,$1200,"He was working on his 3rd symphony when he died in England in 1934; it premiered in 1998 amid much ""pomp""",(Sir Edward) Elgar
66520,5626,09/02/2009,Jeopardy!,THE FIRST MILLENNIUM A.D.,$1000,"This king called ""the Great"" beat the Danes in 886 to keep all of England from being conquered",Alfred
69727,2130,03/12/1993,Jeopardy!,1500,$500,This first Tudor king reigned on the throne of England,Henry VII
69991,5393,06/02/2008,Double Jeopardy!,MISSING,$1600,"Chronological lists of England's kings are missing 1649-1660, between 2 kings of this name",Charles
70052,4493,03/03/2004,Double Jeopardy!,HANDEL,$1600,"In 1710 Handel was appointed kapellmeister to the elector of Hanover, this future king of England",George I
71808,5270,06/07/2007,Jeopardy!,WHERE THERE'S A WILLIAM,$1000,"Number of the William who was England's ""Sailor King"" from 1830 to 1837",IV
72582,2754,18/07/1996,Double Jeopardy!,ROYALTY,$400,This current king of Jordan received part of his education in England at Harrow & Sandhurst,King Hussein
74235,2757,03/09/1996,Jeopardy!,WORLD HISTORY,$200,Barons & churchmen drew up this 1215 document to reduce the power of England's King John,The Magna Carta
74611,3153,22/04/1998,Double Jeopardy!,GUYS WHO FOUND THINGS,$1000,In 1497 this Venetian sailing for England became the first European since the Vikings to reach N. America,John Cabot
74723,5033,28/06/2006,Double Jeopardy!,PULLING RANK,"$1,500","It's the rank of the character singing <a href=""http://www.j-archive.com/media/2006-06-28_DJ_14.mp3"">here</a>  <i>""I know the kings of England and I quote the fights historical / From Marathon to Waterloo, in order categorical""</i>",major general
76814,3382,27/04/1999,Final Jeopardy!,ENGLISH HISTORY,None,"11th century England had 2 kings with this name, one a Dane & one a Saxon",Harold
77195,3656,26/06/2000,Jeopardy!,Jun-26,$400,"He became King of England on June 26, 1483; just over 2 years later he was killed at Bosworth Field",Richard III
78510,3169,14/05/1998,Double Jeopardy!,A LONG TIME AGO,$800,"Henry II, who succeeded Stephen as king of England in 1154, was the first monarch from this ""house""",Plantagenet
79269,5215,20/04/2007,Double Jeopardy!,BRITISH ROYALTY,$400,"He called himself ""king of Great Britain"" after gaining England's throne in 1603--he was already king of Scotland",James I
79457,4230,10/01/2003,Double Jeopardy!,CONQUERORS,$800,"On Christmas Day 1066, he was crowned King of England, 72 days after defeating Harold at the Battle of Hastings",William the Conqueror
80113,5827,05/01/2010,Jeopardy!,"""M"" & ""M""",$1000,"England's King Charles II was known by this ""jovial"" nickname","""the Merry Monarch"""
80548,3548,26/01/2000,Double Jeopardy!,AROUND THE U.S.A.,"$1,000","This nickname of Virginia came from Charles II ranking it with England, Ireland, France & Scotland","""Old Dominion"""
80794,4267,04/03/2003,Double Jeopardy!,ROYALTY,$2000,"England's last Lancastrian king, he was imprisoned & murdered in the Tower of London in 1471",Henry VI
80906,3690,22/09/2000,Double Jeopardy!,THE CENTURY IN WHICH...,$600,England had its last Saxon king,11th century
82525,2251,23/05/1994,Double Jeopardy!,BRITISH HISTORY,"$1,000","The ""rump"" parliament wanted him to be the last king England would ever name",Charles I
84639,1558,15/05/1991,Jeopardy!,FILMS OF THE '90S,$200,"He went from second banana on ""Roseanne"" to top banana of England in ""King Ralph""",John Goodman
86353,1906,14/12/1992,Double Jeopardy!,HISTORIC EVENTS,$400,"The taking of England by William in 1066 is known as this ""Conquest""",the Norman
86412,1837,08/09/1992,Double Jeopardy!,ROYALTY,$400,This country's King Olaf V was born in England & was the grandson of King Edward VII,Norway
86572,2583,22/11/1995,Jeopardy!,19th CENTURY AMERICA,$500,"During an 1840 speaking tour in England, he persuaded thousands to emigrate to Nauvoo, Illinois",Brigham Young
87388,4710,11/02/2005,Jeopardy!,COMING SOON... HISTORY!,$600,"<a href=""http://www.j-archive.com/media/2005-02-11_J_10.mp3"">In 1860s England, he would change the rules of pugilism forever... by making them!  This summer, Vin Diesel is...</a>",the Marquess of Queensbury
89710,5390,01/02/2008,Double Jeopardy!,"""CAN""NED WORDS",$1600,This 11th Century King of England also ruled Denmark & Norway during the latter part of his reign,Canute
90084,4871,14/11/2005,Jeopardy!,THAT'S MY ROYAL NICKNAME,$400,"He was ""the Confessor"" king of England in the 11th century",Edward
92688,5085,20/10/2006,Double Jeopardy!,HAIL TO THE CHIEF,"$5,000","In a 1989 ceremony at Buckingham Palace, the Queen of England made him an honorary knight",Ronald Reagan
